2026-08-14 09:01:12 | INFO | 192.168.1.10 | LOGIN_SUCCESS | User=alice
2026-08-14 09:02:45 | INFO | 192.168.1.15 | LOGIN_SUCCESS | User=bob
2026-08-14 09:04:21 | WARNING | 203.0.113.50 | LOGIN_FAILED | User=admin
2026-08-14 09:04:25 | WARNING | 203.0.113.50 | LOGIN_FAILED | User=admin
2026-08-14 09:04:29 | WARNING | 203.0.113.50 | LOGIN_FAILED | User=admin
2026-08-14 09:04:33 | WARNING | 203.0.113.50 | LOGIN_FAILED | User=admin
2026-08-14 09:04:37 | WARNING | 203.0.113.50 | LOGIN_FAILED | User=admin
2026-08-14 09:05:02 | ALERT | 203.0.113.50 | LOGIN_SUCCESS | User=admin
2026-08-14 09:06:14 | INFO | 192.168.1.20 | FILE_ACCESS | File=report.pdf
2026-08-14 09:07:31 | WARNING | 198.51.100.25 | UNAUTHORIZED_ACCESS | Resource=/admin
2026-08-14 09:08:12 | INFO | 192.168.1.10 | LOGOUT | User=alice
2026-08-14 09:09:44 | WARNING | 198.51.100.25 | UNAUTHORIZED_ACCESS | Resource=/admin
